filename,MFCC_Mean_1,MFCC_StdDev_1,MFCC_Mean_2,MFCC_StdDev_2,MFCC_Mean_3,MFCC_StdDev_3,MFCC_Mean_4,MFCC_StdDev_4,MFCC_Mean_5,MFCC_StdDev_5,MFCC_Mean_6,MFCC_StdDev_6,MFCC_Mean_7,MFCC_StdDev_7,MFCC_Mean_8,MFCC_StdDev_8,MFCC_Mean_9,MFCC_StdDev_9,MFCC_Mean_10,MFCC_StdDev_10,MFCC_Mean_11,MFCC_StdDev_11,MFCC_Mean_12,MFCC_StdDev_12,MFCC_Mean_13,MFCC_StdDev_13
Appletree_8,-227.73157,75.522644,133.51697,35.4885,1.5165012,36.667095,51.34897,24.700535,13.945847,24.740364,21.57937,16.418266,-11.057741,17.848253,7.7730136,12.1748495,4.5716267,11.439851,-1.6587738,12.225605,6.9809756,10.804454,2.9309962,8.901439,0.58713657,9.107916
Appletree_9,-225.91142,73.89463,132.53635,33.173416,2.0314708,35.62449,55.018284,24.61386,16.058712,25.303133,21.525255,16.42447,-13.398252,17.924526,8.119502,12.394583,4.8287325,11.372927,-3.754639,12.781176,6.9070983,11.153589,3.3889945,8.56184,0.09746333,8.922219
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_1",-253.2748,133.74557,169.63844,36.951256,-24.012083,25.368883,5.6176634,38.114635,0.7218622,17.343933,24.619747,21.699795,-18.542473,12.612169,11.088528,16.318426,-13.119278,9.558053,-1.7231355,12.740105,0.12256936,9.563057,-3.2582042,8.117364,-10.564808,8.59265
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_2",-182.34113,110.610565,165.15567,30.786915,-33.28685,24.086737,24.05255,34.082367,-6.2797003,18.478945,32.86475,20.923246,-23.338858,11.634206,17.030626,14.852771,-14.47206,9.667309,3.1080759,12.314883,1.7631606,9.960846,-1.9931275,8.203295,-9.566198,8.493163
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_3",-116.64521,30.162788,158.86847,27.732306,-39.918655,17.965172,37.892014,17.015156,-7.9071646,15.9215555,35.593082,16.468718,-22.964867,10.5216055,20.482765,9.557602,-13.300852,8.847117,6.0635858,9.946697,4.583047,9.560159,-2.457216,8.044113,-7.7296457,8.348255
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_4",-108.75814,41.64411,152.27979,27.893456,-40.141174,19.563387,38.961105,20.246328,-4.986733,17.14251,28.436789,15.714823,-14.432213,12.410366,14.331458,11.4896555,-7.403621,8.69845,4.80589,9.322867,4.9259377,9.094531,-3.4812322,7.868318,-4.8683724,8.3311615
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_5",-103.137535,44.858044,150.78177,27.883453,-44.844463,23.426453,44.70575,19.23857,-9.7276125,17.321688,26.032167,15.664514,-12.156416,13.32333,9.643629,13.185185,-6.2999134,9.115153,4.8036366,9.633986,2.904632,9.069792,-3.3901732,8.071933,-3.896097,8.756982
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_6",-101.04037,48.204617,150.18259,27.164433,-50.480965,23.467447,48.119884,18.508024,-9.355513,16.750786,23.753334,14.677142,-7.677546,13.743789,5.856542,13.873601,-4.6035433,9.260901,5.5073857,8.974573,2.0098398,8.466252,-4.1156964,8.410249,-2.0842814,8.69933
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_7",-101.4149,52.285515,147.85458,26.008177,-55.51986,24.59227,52.51314,16.628218,-11.759689,17.047306,22.618471,15.4627695,-4.7185607,13.603732,1.8945005,13.939709,-3.6154027,9.466635,5.6214895,9.31639,0.24394612,8.398756,-4.5002503,8.994772,-0.80290574,8.763415
"B.o.B, Hayley Williams of Paramore -- Airplanes (feat. Hayley Williams of Paramore)_8",-99.2227,45.15714,150.0575,23.642727,-54.657837,24.083532,52.160393,14.780585,-10.414339,16.818407,21.501465,15.504041,-3.0722384,13.965134,1.9895004,13.750813,-3.3253813,9.797726,6.080443,9.117713,0.8819731,8.924123,-3.9304564,9.062791,0.26141834,8.914986
